created_at,url,full_text,user_id_str,user/location
Thu Dec 30 23:35:53 +0000 2021,https://twitter.com/carterforva/status/1476698585718743042,"China has had 100,000 cases.
US has had 55,000,000 cases.

China has had 4,600 deaths.
US has had 850,000 deaths.

China locks down for testing when there's an outbreak, and feeds those people.
US says you're on your own.

You expect us to be mad about free veggies?",4842843378,us
Thu Dec 30 23:48:09 +0000 2021,https://twitter.com/cnsunchi/status/1476701672730628120,"In Xinjiang, China, no matter what ethnic group we are, we are all Chinese, and we are all Chinese! #Xinjiang #china @xuejianosaka @zlj517 @zhang_heqing @CGMeifangZhang @CaoYi_MFA @ZhaLiyou @ChineseEmbinRus @AmbQinGang @FeiShengchao @SpokespersonCHN https://t.co/hWK6tzmDFO",1425967772740161541,"Albuquerque, New Mexico"
Thu Dec 30 23:38:00 +0000 2021,https://twitter.com/eshaLegal/status/1476699120878473218,"China delivers vegetables to its people for free.

The US has its people starve.

How do you make free vegetable delivery look sinister?",2465958361,"Buffalo, NY"
Thu Dec 30 23:42:35 +0000 2021,https://twitter.com/Not_the_Bee/status/1476700274295291906,Watch: China parades lockdown rule-breakers in front of crowds to publicly shame them https://t.co/ITByVKRJBO,1299007622968901637,us
Thu Dec 30 23:49:32 +0000 2021,https://twitter.com/RBiakpara/status/1476702023546511364,China bans footballers from getting tattoos to set 'good example for society'. https://t.co/w1IPgtV7S5,1481875442,NJ US
Thu Dec 30 23:35:04 +0000 2021,https://twitter.com/caitoz/status/1476698381263069184,It's amazing how many rightists I run into who don't know this. They live in such tightly cloistered echo chambers that they have no idea they're in perfect alignment with Biden and MSNBC on China.,19899980,"Iowa, IA"
Thu Dec 30 23:39:59 +0000 2021,https://twitter.com/neo_tigray/status/1476699619216093184,The World is a better place with prosperous 🇺🇸 USA. It spills over to other countries. The world becomes a stingy place with 🇨🇳 China’s domination. #StopChinaFromEconomic Domination of Africa #ChinaOutUSAInToAfrica,1420874425662992389,Montana
Thu Dec 30 23:55:33 +0000 2021,https://twitter.com/theharpoonman/status/1476703535668498452,"The Fanjingshan or Mount Fanjing, located in Tongren, Guizhou province, is the highest peak of the Wuling Mountains in southwestern China, at an elevation of 2,570 m. The Fanjingshan Nat. Nature Reserve was established in 1978 and designated a UNESCO Biosphere Reserve in 1986. https://t.co/0CWmb48MDO",25139255,SC
Thu Dec 30 23:47:54 +0000 2021,https://twitter.com/neo_tigray/status/1476701612823310336,🇺🇸 #AmericaTheBeautiful #ItsTime The World nations support American foreign Policy’s. When America plays the leadership role in world politics everybody is happy. When #China attempts everybody is depressed the world becomes doom and glom,1420874425662992389,"South Carolina, SC"
Thu Dec 30 23:39:30 +0000 2021,https://twitter.com/JohnGardnerVoH/status/1476699496843153427,"Gee, YA THINK 🤯

Soft-Pedaling China’s Atrocities Only Metastasized Its Machinery of Repression: Human Rights Experts https://t.co/ocn0L9ZVQ1",1251213028797804545,us
