created_at,url,full_text,user_id_str,user/location
Thu Jan 19 23:55:27 +0000 2023,https://twitter.com/NUFDIran/status/1616222838716784646,"Ida Rostami was murdered by the regime for providing medical care to injured protesters. Many doctors across #Iran are helping the revolutionary movement against the regime.

#MahsaAmini https://t.co/bbljJMbcva",2424418705,UT
Thu Jan 19 23:10:04 +0000 2023,https://twitter.com/VanessaBeeley/status/1616211418939801600,Day 3 in #Iran to understand reality from on the ground not from #BBC or #AmnestyInternational CIA #MI6 narrative managers.  Please watch @ukcolumn news tomorrow 1pm GMT for initial impressions.  More to follow. https://t.co/ZrPzHX4Dw1,956171191,OH US
Thu Jan 19 23:16:38 +0000 2023,https://twitter.com/BaladiMagazine/status/1616213068685660165,"Join Us for a Conversation with Speculative Fiction Writer @ZohaKazemi  https://t.co/J9fzUBH3Gt 
Monday, January 23.  8:00 a.m. U.S. Central Time/5:30 p.m. Iran Standard Time. https://t.co/u759LNhDCk",1231389689757732864,"Florida, FL"
Thu Jan 19 23:53:10 +0000 2023,https://twitter.com/41132625M/status/1616222263660920833,"Donald Trump told the Press: I don't have to tell you what I'm gonna do.Not in Iran, not in North Korea. You know why, because they shouldn't know. And what am I gonna do with a possible Russian Ship? I don't have to tell you and I won't.  Get it. The End. Leadership and Grit.",1487944882392080385,"San Jose, California"
Thu Jan 19 22:56:59 +0000 2023,https://twitter.com/AFeministAction/status/1616208124360392704,FREEDOM RALLY FOR IRAN. In solidarity with Iranian people and their revolution for freedom join us on Saturday 21 Jan from 4 to 5pm gathering at Commercial Bay at the begining of Queen St and marching toward Aotea Sq. https://t.co/4xXvSKbp4F,1176870486,ND
Thu Jan 19 23:36:34 +0000 2023,https://twitter.com/uncleFredsTweet/status/1616218087350468610,"The 1000 year old Jameh Mosque 
and its flying buttress in the magical medieval city of Yazd, Iran. https://t.co/N8GIdIrA0R",500809690,U.S.A
Thu Jan 19 22:16:02 +0000 2023,https://twitter.com/Sanaz7106/status/1616197821090103297,https://t.co/nnrezJqFpN         Dear @JosepBorrellF this video is an example of #IRGCterrorists in Iran.,1605954013731627008,U.S.A
Thu Jan 19 23:01:59 +0000 2023,https://twitter.com/ArianArian00/status/1616209385876852736,"#SOS

#IRGCterrorists are attacking #Baloochestan #بلوچستان. Be their voice and don’t let #IRGC to massacre people in Baloochestan #Iran #dkpol #MahsaAmini",919725913469747200,us
Thu Jan 19 23:04:20 +0000 2023,https://twitter.com/RedHorizon13/status/1616209975474282497,If the EU designates Iran's IRGC as a terrorist organisation Iran should no longer hold back and deliver heavy weapons to the Russian Federation.,1047136536033210369,"Los Angeles, California"
Thu Jan 19 22:47:59 +0000 2023,https://twitter.com/kazeroonkings/status/1616205862065868828,"The only solution is #PrinceRezaPahlavi , the legal King of Iran.

#LongLiveTheShah
#KingdomWithPahlavi 
@PahlaviReza
 
Yours Sincerely,
@kazeroonkings https://t.co/LLhrlPS2GJ",1464646039735087115,IN US
