created_at,url,full_text,user_id_str,user/location
Sat Mar 31 23:52:42 +0000 2018,https://twitter.com/SocialistVoice/status/980231444915261442,"Israel killed 17 Palestinians yesterday during a protest on the Gaza Border marking the 42nd anniversary of Land Day

This is how some major Western news sources reported it: no mention of Israel’s barbaric actions

Imagine the media outrage if it was Russia...

#FreePalestine https://t.co/cDAHGY8umZ",1833919200,"Jacksonville, Florida"
Sat Mar 31 23:29:48 +0000 2018,https://twitter.com/C_3C_3/status/980225681228468225,"Those that believe the Trump Russia “Collusion” fairytale are the same people that donated $500K to a criminal that is worth $11 million and owns 2 homes and 4 high end sports cars.

Also known as SUCKERS.",2327400218,"Nevada, NV"
Sat Mar 31 23:21:29 +0000 2018,https://twitter.com/suggraw/status/980223586756591616,"dont need a PR or any hype here, might as well have a Motorola
hey @boyfriendz666 u r fcking amazing, u asked for rick n morty style smhow, so... 
and hello from Mother Russia, right here we return 2007 away :) and u wont get it anyway, wwwwwwwww https://t.co/6Ts7m8vrwv",432878945,"Idaho, ID"
Sat Mar 31 23:31:01 +0000 2018,https://twitter.com/MarkJKremer/status/980225985076441088,Your President loved power so much he colluded with Russia. https://t.co/0BqsCXo9Fz,3439164489,us
Sat Mar 31 23:37:56 +0000 2018,https://twitter.com/WafaZahra786/status/980227728149499904,BEAUTIFUL  MASJED  FROM RUSSIA https://t.co/3ivOZL7hyu,883140329750360072,us
Sat Mar 31 23:16:15 +0000 2018,https://twitter.com/morethanmySLE/status/980222269015449601,My BFF's #RandomActOfKindness for the day. To Russia with Love! https://t.co/gjrLa8QFh4,812361923304034304,CT US
Sat Mar 31 23:07:32 +0000 2018,https://twitter.com/dhr_adu701/status/980220077994848256,"Red Army Captain Joseph Prautof: ""The hate ran so deep. We wanted to end the war. Annihilate the force that wanted to kill us. Finish it off, once and for all."" #WorldWar2 #USSR #Communism #RedArmy #hatred #liberators #heroes #thegreatpatrioticwar #RUSSIA https://t.co/mh4suePh2J",1217772709,NV US
Sat Mar 31 22:29:27 +0000 2018,https://twitter.com/Bloodround/status/980210490419884033,Dan Gable to Russia. https://t.co/bYzJp8ttH6,2944280077,"Sacramento, California"
Sat Mar 31 23:20:45 +0000 2018,https://twitter.com/tgs31952/status/980223403490717696,"So, Avaaz, who have been the PR firm for the White Helmets and lobbied for a Western imposed no fly zone is now kicking off a campaign to boycott the world cup in Russia - to end the slaughter in Syria. 
https://t.co/ai1i5RoJA0",782574408493916160,FL
Sat Mar 31 23:52:47 +0000 2018,https://twitter.com/ScottsHumor/status/980231464926236673,"Russia 1
Baltics,Sweden and Denmark in full panic mode about RF missile drill:
“I’ve Never Seen Anything Like It” – Russia Declares ‘Unusual’ Missile Drill, Just Miles From Sweden
All air traffic will be rerouted during the exercise.
https://t.co/SNQZJQSLpY",4018307595,MS US
Sat Mar 31 23:10:00 +0000 2018,https://twitter.com/FoxBusiness/status/980220696809926656,".@KimStrassel: ""If Russia excels at anything, it is driving wedges in between the U.S. and its European allies."" https://t.co/J0kiSRtFGm",56413858,"Oregon, OR"
Sat Mar 31 23:16:55 +0000 2018,https://twitter.com/TeamGushue/status/980222439471935489,Great to start with a win over Team Russia at Worlds! We love all the support here in #Vegas #teamgushue #teamcanada.,317757936,us
Sat Mar 31 22:46:38 +0000 2018,https://twitter.com/SamJohnson_TX/status/980214817763024896,The Kremlin has responded in kind after NATO allies expelled Russian diplomats following the poisoning of a former Russian spy. We must compel our government to sustain diplomatic relations &amp; maintain #peace. #russia #diplomacy #diplomats #RealActionForYou #VoteSamJohnsonTX3,860727864483876864,NJ
Sat Mar 31 23:00:34 +0000 2018,https://twitter.com/DailyFetched/status/980218322456338436,"Russian Economy 'Booming' Since Putin Banned Rothschilds From The Country
      - Russia reduces foreign debt as it escapes the clutches of the new world order https://t.co/4MHFbUPn4b",1911303422,Mississippi
